timestamp,building_id,building_name,water_consumption_litres,water_consumption_liters,occupancy,occupancy_estimate,temperature,temperature_c,hour,day_of_week,is_weekend,is_anomaly,anomaly_label,anomaly_type,event_id,anomaly_event_id,is_synthetic,expected_consumption,absolute_deviation,percentage_deviation,potential_excess_consumption,pred_static,pred_statistical,pred_ml,pred_hybrid,static_score,statistical_score,ml_score,hybrid_score,event_persistence_hours,risk_score,risk_tier,explanation,possible_causes,recommended_action,possible_interpretation,uncertainty_statement,recommendation
2026-03-05 00:00:00+00:00,B06,Academic Block,112.82,112.82,95.56,95.56,22.33,22.33,0,3,0,0,0,none,,,True,125.48,-12.66,-10.09,0.0,0,0,0,0,0.0,0.0,0.47167266322676266,0.23583633161338133,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 00:00:00+00:00,B02,Library,71.48,71.48,63.15,63.15,19.55,19.55,0,3,0,0,0,none,,,True,75.04,-3.56,-4.74,0.0,0,0,0,0,0.0,0.0,0.5380493176012507,0.26902465880062537,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 00:00:00+00:00,B05,Administration,42.01,42.01,34.42,34.42,17.24,17.24,0,3,0,0,0,none,,,True,51.02,-9.01,-17.66,0.0,0,0,0,0,0.0,0.0,0.6342915883381612,0.3171457941690806,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 00:00:00+00:00,B01,Engineering Block,110.35,110.35,101.95,101.95,20.02,20.02,0,3,0,0,0,none,,,True,135.63,-25.28,-18.64,0.0,0,0,0,0,0.0,0.0,0.6356223323427181,0.31781116617135907,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 00:00:00+00:00,B04,Hostel B,214.46,214.46,158.89,158.89,20.83,20.83,0,3,0,0,0,none,,,True,247.56,-33.1,-13.37,0.0,0,0,0,0,0.0,0.0,0.6171592656943522,0.3085796328471761,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 00:00:00+00:00,B03,Hostel A,234.75,234.75,160.2,160.2,19.67,19.67,0,3,0,0,0,none,,,True,246.89,-12.14,-4.92,0.0,0,0,0,0,0.0,0.0,0.4430204127712031,0.22151020638560154,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 01:00:00+00:00,B01,Engineering Block,134.69,134.69,116.08,116.08,21.55,21.55,1,3,0,0,0,none,,,True,140.01,-5.32,-3.8,0.0,0,0,0,0,0.0,0.0,0.31461422856838284,0.15730711428419142,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 01:00:00+00:00,B06,Academic Block,118.12,118.12,129.56,129.56,19.71,19.71,1,3,0,0,0,none,,,True,136.37,-18.25,-13.38,0.0,0,0,0,0,0.0,0.0,0.5323536886792171,0.26617684433960853,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 01:00:00+00:00,B02,Library,72.03,72.03,68.91,68.91,21.61,21.61,1,3,0,0,0,none,,,True,75.79,-3.76,-4.96,0.0,0,0,0,0,0.0,0.0,0.4250011021158123,0.21250055105790616,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
2026-03-05 01:00:00+00:00,B05,Administration,34.63,34.63,34.13,34.13,19.7,19.7,1,3,0,0,0,none,,,True,51.19,-16.56,-32.35,0.0,0,0,0,0,0.0,0.0,0.6486775653934849,0.32433878269674243,0,0.0,LOW,Normal consumption pattern consistent with expected baseline.,Standard baseline facility operations.,No intervention required. Continue routine monitoring.,Standard baseline facility operations.,Normal operational range.,No recommendation needed. System operating within baseline parameters.
