timestamp,building_id,building_name,water_consumption_litres,water_consumption_liters,occupancy,occupancy_estimate,temperature,temperature_c,hour,day_of_week,is_weekend,is_anomaly,anomaly_label,anomaly_type,event_id,anomaly_event_id,is_synthetic
2026-01-01 00:00:00+00:00,B01,Engineering Block,139.33,139.33,112.68,112.68,22.96,22.96,0,3,0,0,0,none,,,True
2026-01-01 01:00:00+00:00,B01,Engineering Block,124.27,124.27,118.28,118.28,22.84,22.84,1,3,0,0,0,none,,,True
2026-01-01 02:00:00+00:00,B01,Engineering Block,135.46,135.46,111.12,111.12,25.21,25.21,2,3,0,0,0,none,,,True
2026-01-01 03:00:00+00:00,B01,Engineering Block,140.29,140.29,102.49,102.49,27.04,27.04,3,3,0,0,0,none,,,True
2026-01-01 04:00:00+00:00,B01,Engineering Block,144.09,144.09,110.58,110.58,27.78,27.78,4,3,0,0,0,none,,,True
2026-01-01 05:00:00+00:00,B01,Engineering Block,125.15,125.15,102.44,102.44,27.33,27.33,5,3,0,0,0,none,,,True
2026-01-01 06:00:00+00:00,B01,Engineering Block,342.26,342.26,232.73,232.73,27.03,27.03,6,3,0,0,0,none,,,True
2026-01-01 07:00:00+00:00,B01,Engineering Block,335.75,335.75,219.01,219.01,28.21,28.21,7,3,0,0,0,none,,,True
2026-01-01 08:00:00+00:00,B01,Engineering Block,535.02,535.02,521.23,521.23,26.35,26.35,8,3,0,0,0,none,,,True
2026-01-01 09:00:00+00:00,B01,Engineering Block,539.19,539.19,528.22,528.22,26.65,26.65,9,3,0,0,0,none,,,True
2026-01-01 10:00:00+00:00,B01,Engineering Block,538.29,538.29,543.85,543.85,25.22,25.22,10,3,0,0,0,none,,,True
2026-01-01 11:00:00+00:00,B01,Engineering Block,536.72,536.72,517.84,517.84,25.54,25.54,11,3,0,0,0,none,,,True
2026-01-01 12:00:00+00:00,B01,Engineering Block,519.15,519.15,524.0,524.0,23.32,23.32,12,3,0,0,0,none,,,True
2026-01-01 13:00:00+00:00,B01,Engineering Block,504.81,504.81,480.73,480.73,24.14,24.14,13,3,0,0,0,none,,,True
2026-01-01 14:00:00+00:00,B01,Engineering Block,491.24,491.24,469.14,469.14,22.92,22.92,14,3,0,0,0,none,,,True
2026-01-01 15:00:00+00:00,B01,Engineering Block,497.32,497.32,476.92,476.92,22.95,22.95,15,3,0,0,0,none,,,True
2026-01-01 16:00:00+00:00,B01,Engineering Block,498.26,498.26,480.97,480.97,21.68,21.68,16,3,0,0,0,none,,,True
2026-01-01 17:00:00+00:00,B01,Engineering Block,489.48,489.48,480.56,480.56,19.87,19.87,17,3,0,0,0,none,,,True
2026-01-01 18:00:00+00:00,B01,Engineering Block,322.16,322.16,220.86,220.86,20.6,20.6,18,3,0,0,0,none,,,True
2026-01-01 19:00:00+00:00,B01,Engineering Block,344.39,344.39,238.16,238.16,20.48,20.48,19,3,0,0,0,none,,,True
2026-01-01 20:00:00+00:00,B01,Engineering Block,320.48,320.48,210.19,210.19,21.33,21.33,20,3,0,0,0,none,,,True
2026-01-01 21:00:00+00:00,B01,Engineering Block,341.9,341.9,230.16,230.16,22.86,22.86,21,3,0,0,0,none,,,True
2026-01-01 22:00:00+00:00,B01,Engineering Block,271.16,271.16,121.93,121.93,22.33,22.33,22,3,0,0,0,none,,,True
2026-01-01 23:00:00+00:00,B01,Engineering Block,254.0,254.0,123.32,123.32,22.25,22.25,23,3,0,0,0,none,,,True
2026-01-02 00:00:00+00:00,B01,Engineering Block,130.18,130.18,101.91,101.91,24.81,24.81,0,4,0,0,0,none,,,True
2026-01-02 01:00:00+00:00,B01,Engineering Block,139.29,139.29,116.08,116.08,24.68,24.68,1,4,0,0,0,none,,,True
2026-01-02 02:00:00+00:00,B01,Engineering Block,143.14,143.14,115.51,115.51,25.53,25.53,2,4,0,0,0,none,,,True
2026-01-02 03:00:00+00:00,B01,Engineering Block,129.28,129.28,104.18,104.18,26.11,26.11,3,4,0,0,0,none,,,True
2026-01-02 04:00:00+00:00,B01,Engineering Block,127.85,127.85,99.48,99.48,27.45,27.45,4,4,0,0,0,none,,,True
2026-01-02 05:00:00+00:00,B01,Engineering Block,143.55,143.55,110.11,110.11,27.76,27.76,5,4,0,0,0,none,,,True
2026-01-02 06:00:00+00:00,B01,Engineering Block,339.38,339.38,230.86,230.86,27.29,27.29,6,4,0,0,0,none,,,True
2026-01-02 07:00:00+00:00,B01,Engineering Block,322.88,322.88,224.3,224.3,25.62,25.62,7,4,0,0,0,none,,,True
2026-01-02 08:00:00+00:00,B01,Engineering Block,528.12,528.12,513.36,513.36,26.02,26.02,8,4,0,0,0,none,,,True
2026-01-02 09:00:00+00:00,B01,Engineering Block,538.88,538.88,517.03,517.03,26.17,26.17,9,4,0,0,0,none,,,True
2026-01-02 10:00:00+00:00,B01,Engineering Block,522.84,522.84,521.86,521.86,26.68,26.68,10,4,0,0,0,none,,,True
2026-01-02 11:00:00+00:00,B01,Engineering Block,524.73,524.73,523.19,523.19,24.28,24.28,11,4,0,0,0,none,,,True
2026-01-02 12:00:00+00:00,B01,Engineering Block,534.9,534.9,532.39,532.39,22.74,22.74,12,4,0,0,0,none,,,True
2026-01-02 13:00:00+00:00,B01,Engineering Block,482.7,482.7,477.09,477.09,23.11,23.11,13,4,0,0,0,none,,,True
2026-01-02 14:00:00+00:00,B01,Engineering Block,495.7,495.7,475.63,475.63,22.47,22.47,14,4,0,0,0,none,,,True
2026-01-02 15:00:00+00:00,B01,Engineering Block,493.9,493.9,475.19,475.19,23.99,23.99,15,4,0,0,0,none,,,True
2026-01-02 16:00:00+00:00,B01,Engineering Block,488.66,488.66,465.99,465.99,22.1,22.1,16,4,0,0,0,none,,,True
2026-01-02 17:00:00+00:00,B01,Engineering Block,504.19,504.19,486.96,486.96,22.47,22.47,17,4,0,0,0,none,,,True
2026-01-02 18:00:00+00:00,B01,Engineering Block,329.51,329.51,237.88,237.88,20.36,20.36,18,4,0,0,0,none,,,True
2026-01-02 19:00:00+00:00,B01,Engineering Block,310.85,310.85,216.85,216.85,21.27,21.27,19,4,0,0,0,none,,,True
2026-01-02 20:00:00+00:00,B01,Engineering Block,319.8,319.8,230.59,230.59,21.75,21.75,20,4,0,0,0,none,,,True
2026-01-02 21:00:00+00:00,B01,Engineering Block,332.99,332.99,216.06,216.06,22.78,22.78,21,4,0,0,0,none,,,True
2026-01-02 22:00:00+00:00,B01,Engineering Block,287.23,287.23,142.57,142.57,26.01,26.01,22,4,0,0,0,none,,,True
2026-01-02 23:00:00+00:00,B01,Engineering Block,261.07,261.07,116.29,116.29,21.7,21.7,23,4,0,0,0,none,,,True
2026-01-03 00:00:00+00:00,B01,Engineering Block,76.45,76.45,31.35,31.35,24.21,24.21,0,5,1,0,0,none,,,True
2026-01-03 01:00:00+00:00,B01,Engineering Block,91.3,91.3,37.26,37.26,26.48,26.48,1,5,1,0,0,none,,,True
2026-01-03 02:00:00+00:00,B01,Engineering Block,72.26,72.26,37.1,37.1,25.12,25.12,2,5,1,0,0,none,,,True
2026-01-03 03:00:00+00:00,B01,Engineering Block,104.27,104.27,34.22,34.22,26.73,26.73,3,5,1,0,0,none,,,True
2026-01-03 04:00:00+00:00,B01,Engineering Block,90.14,90.14,39.65,39.65,28.26,28.26,4,5,1,0,0,none,,,True
2026-01-03 05:00:00+00:00,B01,Engineering Block,77.64,77.64,28.07,28.07,26.62,26.62,5,5,1,0,0,none,,,True
2026-01-03 06:00:00+00:00,B01,Engineering Block,263.3,263.3,97.48,97.48,26.88,26.88,6,5,1,0,0,none,,,True
2026-01-03 07:00:00+00:00,B01,Engineering Block,244.87,244.87,70.8,70.8,28.55,28.55,7,5,1,0,0,none,,,True
2026-01-03 08:00:00+00:00,B01,Engineering Block,305.77,305.77,182.37,182.37,27.29,27.29,8,5,1,0,0,none,,,True
2026-01-03 09:00:00+00:00,B01,Engineering Block,302.49,302.49,187.68,187.68,26.41,26.41,9,5,1,0,0,none,,,True
2026-01-03 10:00:00+00:00,B01,Engineering Block,317.91,317.91,172.5,172.5,26.43,26.43,10,5,1,0,0,none,,,True
2026-01-03 11:00:00+00:00,B01,Engineering Block,312.69,312.69,185.16,185.16,25.43,25.43,11,5,1,0,0,none,,,True
2026-01-03 12:00:00+00:00,B01,Engineering Block,312.21,312.21,195.24,195.24,25.0,25.0,12,5,1,0,0,none,,,True
2026-01-03 13:00:00+00:00,B01,Engineering Block,316.22,316.22,175.99,175.99,24.45,24.45,13,5,1,0,0,none,,,True
2026-01-03 14:00:00+00:00,B01,Engineering Block,280.55,280.55,167.86,167.86,22.08,22.08,14,5,1,0,0,none,,,True
2026-01-03 15:00:00+00:00,B01,Engineering Block,303.85,303.85,180.78,180.78,24.42,24.42,15,5,1,0,0,none,,,True
2026-01-03 16:00:00+00:00,B01,Engineering Block,282.56,282.56,162.88,162.88,23.7,23.7,16,5,1,0,0,none,,,True
2026-01-03 17:00:00+00:00,B01,Engineering Block,284.06,284.06,158.38,158.38,22.59,22.59,17,5,1,0,0,none,,,True
2026-01-03 18:00:00+00:00,B01,Engineering Block,237.25,237.25,78.7,78.7,21.7,21.7,18,5,1,0,0,none,,,True
2026-01-03 19:00:00+00:00,B01,Engineering Block,248.75,248.75,91.14,91.14,22.06,22.06,19,5,1,0,0,none,,,True
2026-01-03 20:00:00+00:00,B01,Engineering Block,215.9,215.9,60.71,60.71,22.24,22.24,20,5,1,0,0,none,,,True
2026-01-03 21:00:00+00:00,B01,Engineering Block,224.62,224.62,68.02,68.02,21.9,21.9,21,5,1,0,0,none,,,True
2026-01-03 22:00:00+00:00,B01,Engineering Block,217.7,217.7,51.81,51.81,22.08,22.08,22,5,1,0,0,none,,,True
2026-01-03 23:00:00+00:00,B01,Engineering Block,221.57,221.57,39.49,39.49,23.82,23.82,23,5,1,0,0,none,,,True
2026-01-04 00:00:00+00:00,B01,Engineering Block,92.0,92.0,43.24,43.24,26.27,26.27,0,6,1,0,0,none,,,True
2026-01-04 01:00:00+00:00,B01,Engineering Block,87.13,87.13,32.38,32.38,25.5,25.5,1,6,1,0,0,none,,,True
2026-01-04 02:00:00+00:00,B01,Engineering Block,90.53,90.53,40.05,40.05,25.38,25.38,2,6,1,0,0,none,,,True
2026-01-04 03:00:00+00:00,B01,Engineering Block,114.53,114.53,40.51,40.51,29.61,29.61,3,6,1,0,0,none,,,True
2026-01-04 04:00:00+00:00,B01,Engineering Block,74.11,74.11,30.99,30.99,27.3,27.3,4,6,1,0,0,none,,,True
2026-01-04 05:00:00+00:00,B01,Engineering Block,101.28,101.28,33.3,33.3,28.21,28.21,5,6,1,0,0,none,,,True
2026-01-04 06:00:00+00:00,B01,Engineering Block,220.94,220.94,72.33,72.33,27.36,27.36,6,6,1,0,0,none,,,True
2026-01-04 07:00:00+00:00,B01,Engineering Block,237.84,237.84,77.32,77.32,26.86,26.86,7,6,1,0,0,none,,,True
2026-01-04 08:00:00+00:00,B01,Engineering Block,292.18,292.18,176.03,176.03,27.54,27.54,8,6,1,0,0,none,,,True
2026-01-04 09:00:00+00:00,B01,Engineering Block,296.2,296.2,170.84,170.84,29.3,29.3,9,6,1,0,0,none,,,True
2026-01-04 10:00:00+00:00,B01,Engineering Block,334.43,334.43,174.1,174.1,28.4,28.4,10,6,1,0,0,none,,,True
2026-01-04 11:00:00+00:00,B01,Engineering Block,305.68,305.68,173.44,173.44,25.48,25.48,11,6,1,0,0,none,,,True
2026-01-04 12:00:00+00:00,B01,Engineering Block,314.5,314.5,198.96,198.96,24.1,24.1,12,6,1,0,0,none,,,True
2026-01-04 13:00:00+00:00,B01,Engineering Block,297.69,297.69,173.09,173.09,24.76,24.76,13,6,1,0,0,none,,,True
2026-01-04 14:00:00+00:00,B01,Engineering Block,289.18,289.18,165.07,165.07,22.24,22.24,14,6,1,0,0,none,,,True
2026-01-04 15:00:00+00:00,B01,Engineering Block,287.37,287.37,163.91,163.91,23.24,23.24,15,6,1,0,0,none,,,True
2026-01-04 16:00:00+00:00,B01,Engineering Block,298.56,298.56,170.4,170.4,23.55,23.55,16,6,1,0,0,none,,,True
2026-01-04 17:00:00+00:00,B01,Engineering Block,294.23,294.23,169.35,169.35,22.31,22.31,17,6,1,0,0,none,,,True
2026-01-04 18:00:00+00:00,B01,Engineering Block,230.65,230.65,72.4,72.4,22.48,22.48,18,6,1,0,0,none,,,True
2026-01-04 19:00:00+00:00,B01,Engineering Block,253.57,253.57,97.17,97.17,23.85,23.85,19,6,1,0,0,none,,,True
2026-01-04 20:00:00+00:00,B01,Engineering Block,240.21,240.21,72.04,72.04,21.48,21.48,20,6,1,0,0,none,,,True
2026-01-04 21:00:00+00:00,B01,Engineering Block,223.4,223.4,81.06,81.06,23.56,23.56,21,6,1,0,0,none,,,True
